longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value_binary
-120.32,33.26,14,1782,2441,1438,1060,5.2639,low
-116.15,40.58,14,9528,2826,2957,1026,6.0791,low
-120.71,40.25,9,7241,133,215,544,1.8611,low
-116.4,36.21,52,458,149,3281,1598,2.9936,high
-120.67,34.49,52,5303,1547,1653,2424,3.7821,high
-119.75,37.07,6,1570,2747,2680,212,6.3749,high
-115.58,37.09,52,7297,2610,429,1119,4.6781,low
-119.97,41.26,15,4966,707,1871,1696,5.3119,high
-116.84,35.5,28,2277,1963,2719,25,4.525,low
-118.74,36.61,14,4148,1199,436,3176,6.448,high
-119.78,39.25,33,2840,1935,2166,1148,2.1182,high
-122.09,33.98,25,562,969,815,2890,5.6358,high
-118.74,39.51,52,666,1597,2583,713,2.5955,high
-118.13,34.49,28,3100,1156,1988,277,5.2088,high
-118.96,34.09,10,5544,878,2004,1257,3.025,low
-116.99,39.51,7,1378,533,5633,1268,3.3095,high
-119.49,36.38,15,4169,1542,7775,3522,8.05,high
-118.95,36.06,30,3548,1635,1711,720,3.8398,low
-118.1,39.7,14,4723,748,1011,2225,4.6779,low
-121.64,34.49,42,15502,2862,775,403,6.0137,high
-122.44,36.58,15,1336,150,4868,997,3.1373,high
-116.05,39.91,52,2710,229,5410,1644,0.78,low
-116.52,33.37,13,4032,2387,258,2267,2.9145,low
-116.27,36.59,48,5782,9,5247,529,1.9194,low
-118.53,33.86,52,811,2826,2472,1597,3.6111,high
-121.86,40.06,13,8596,1352,1955,284,4.0096,high
-121.68,32.76,36,4221,621,2866,1924,1.3241,high
-115.38,40.28,33,2151,2823,550,1722,7.4185,low
-118.69,38.7,9,3126,1225,4649,1120,3.183,high
-121.17,36.91,48,678,349,1075,429,3.8904,low
-120.29,38.61,25,9137,950,1217,1047,5.1261,low
-117.08,37.31,47,6440,1739,1024,208,1.0972,low
-122.65,36.52,7,4151,884,3574,1051,2.5743,low
-117.73,33.96,15,1534,1321,1805,1318,1.4937,low
-120.93,34.66,6,744,223,4930,1513,1.6471,high
-118.7,39.64,2,3850,1542,3775,1804,5.2596,high
-118.98,40.01,14,17579,1211,898,4072,3.4485,low
-117.37,35.86,14,4472,967,1910,1041,4.8889,high
-120.12,36.38,25,3720,1564,3550,2716,3.3306,low
-120.95,36.28,14,1559,710,1518,17,2.976,high
-122.94,38.96,52,1833,72,4015,1130,1.2321,high
-122.91,40.44,18,4174,969,2999,1772,7.0568,high
-118.74,36.64,10,2114,3923,4930,656,5.8718,high
-120.31,34.96,25,6394,240,1131,633,5.7979,low
-116.31,37.0,52,5785,213,4636,708,2.9489,low
-119.82,32.91,15,2718,309,201,1939,4.9318,low
-118.53,37.02,52,4650,54,4483,2156,1.7238,low
-123.63,40.28,25,4094,1558,585,427,5.4876,high
-119.68,41.75,13,529,311,3388,17,1.5491,high
-116.84,37.39,36,4711,1058,4762,430,5.7068,low
-121.82,39.92,15,2325,3923,511,206,3.3558,high
-121.49,40.88,7,197,424,1510,2156,3.6742,high
-123.82,35.1,52,1289,328,1318,1212,12.0933,high
-121.13,38.65,4,1454,710,4253,484,2.6625,low
-118.14,39.64,21,950,294,3084,1460,2.8892,high
-122.56,39.52,14,2886,1714,574,363,11.9666,low
