fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,type
7.1,0.96,0.14,2.1,0.174,16.0,117.0,0.99388,3.28,0.67,9.1,6,red
11.4,0.42,0.26,1.7,0.043,12.0,80.0,0.9953,3.14,0.44,8.9,5,white
8.1,0.98,0.33,13.7,0.013,48.5,98.0,0.99755,3.32,0.52,9.7,6,white
8.2,0.22,0.63,4.25,0.042,53.0,138.0,0.99583,3.34,0.45,9.5,8,red
6.6,0.22,0.54,1.6,0.05,110.0,282.0,0.9974,3.21,0.61,9.7,7,white
7.9,0.3,0.21,3.15,0.044,17.0,225.0,0.99269,3.34,0.45,9.4,5,white
6.1,0.42,0.08,2.1,0.049,16.0,28.0,1.03898,3.28,0.58,10.8,6,white
8.6,0.33,0.26,2.1,0.043,44.0,135.0,0.99005,3.17,0.68,10.7,5,red
6.4,0.2,0.31,7.5,0.111,29.0,156.0,0.991,3.34,0.6,10.7,7,white
7.8,0.705,0.28,2.0,0.07,56.0,174.0,0.99721,3.11,0.53,10.2,7,white
5.9,0.38,0.44,13.6,0.095,29.0,141.0,0.98928,3.18,0.56,9.4,6,red
5.6,0.715,0.31,16.2,0.057,27.0,161.0,0.98934,3.41,0.44,11.0,5,red
5.8,0.14,1.23,7.7,0.066,11.0,98.0,0.99189,3.41,0.37,12.8,6,white
7.9,0.17,0.08,2.5,0.07,41.0,149.0,0.9916,2.88,0.69,10.4,5,white
5.8,0.205,0.26,2.6,0.084,38.0,151.0,0.98947,3.36,0.71,11.0,7,red
7.0,0.105,0.3,2.2,0.027,72.0,182.0,0.9953,3.4,0.58,11.5,5,white
7.0,0.18,0.27,8.8,0.041,44.0,176.0,0.9974,3.47,0.76,11.4,5,red
5.2,0.19,0.23,10.5,0.267,36.0,26.0,0.9954,2.99,0.46,10.5,5,red
5.8,0.31,0.75,9.15,0.069,15.0,229.0,0.997,3.41,0.45,9.6,5,red
6.5,0.19,0.27,2.4,0.07,16.0,68.0,0.9933,2.74,0.71,9.2,6,white
