method,sim_setup,beta_int,epsilon,rep,seed,status,synth_file,sigma,epochs,beta123_real,se_real,p_real,R2_real_train,beta123_syn,se_syn,p_syn,R2_syn_train,abs_err_beta123,RMSE_holdout,R2_holdout,RMSE_real_holdout,R2_real_holdout,delta_RMSE_holdout,delta_R2_holdout
DPWGAN,nonconstant,0.0,1.0,1,10101001,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.000\eps_1\synthetic_rep_01.csv,2.0,20,-0.00038356545930899686,0.0058528858748044445,0.947749441254777,0.6837060257554435,-0.8180717517759426,0.1897333647260773,1.6311920038149856e-05,0.6619408500300303,0.8176881863166336,2.427389877879938,-0.86888384045788,1.0095943551633002,0.6767064329808454,1.4177955227166377,-1.5455902734387255
DPWGAN,nonconstant,0.0,1.0,2,10101002,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.000\eps_1\synthetic_rep_02.csv,2.0,20,-0.00038356545930899686,0.0058528858748044445,0.947749441254777,0.6837060257554435,0.05981712998067872,0.08465512157498228,0.4798281688649667,0.530385885453192,0.06020069543998772,1.12126666921432,0.6012313017190811,1.0095943551633002,0.6767064329808454,0.11167231405101985,-0.0754751312617643
DPWGAN,nonconstant,0.0,1.0,3,10101003,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.000\eps_1\synthetic_rep_03.csv,2.0,20,-0.00038356545930899686,0.0058528858748044445,0.947749441254777,0.6837060257554435,-0.31529337847473843,0.22774587584278136,0.1662554152031578,0.7322034934983437,0.3149098130154294,1.937075417419212,-0.19013518569566412,1.0095943551633002,0.6767064329808454,0.9274810622559118,-0.8668416186765096
DPWGAN,nonconstant,0.0,1.0,4,10101004,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.000\eps_1\synthetic_rep_04.csv,2.0,20,-0.00038356545930899686,0.0058528858748044445,0.947749441254777,0.6837060257554435,-0.4678001010734698,0.16220901322170003,0.003933399226429252,0.5245513446218792,0.4674165356141608,2.207933389107109,-0.5462338257977115,1.0095943551633002,0.6767064329808454,1.1983390339438087,-1.222940258778557
DPWGAN,nonconstant,0.0,1.0,5,10101005,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.000\eps_1\synthetic_rep_05.csv,2.0,20,-0.00038356545930899686,0.0058528858748044445,0.947749441254777,0.6837060257554435,-0.23026589969078493,0.05950391880417623,0.00010943676538326547,0.81663212387658,0.22988233423147592,1.982170481761203,-0.24619281910297164,1.0095943551633002,0.6767064329808454,0.9725761265979027,-0.9228992520838171
DPWGAN,nonconstant,0.0,2.0,1,10102001,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.000\eps_2\synthetic_rep_01.csv,2.0,74,-0.00038356545930899686,0.0058528858748044445,0.947749441254777,0.6837060257554435,0.010138555494206686,0.013914924559935305,0.4662523522724437,0.8899228195721572,0.010522120953515682,1.0849034005749894,0.6266764589258869,1.0095943551633002,0.6767064329808454,0.07530904541168915,-0.05002997405495857
DPWGAN,nonconstant,0.0,2.0,2,10102002,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.000\eps_2\synthetic_rep_02.csv,2.0,74,-0.00038356545930899686,0.0058528858748044445,0.947749441254777,0.6837060257554435,-0.21666515923746482,0.032298527659830586,2.046011636109536e-11,0.762107177042165,0.2162815937781558,1.780937567129474,-0.006006126791174404,1.0095943551633002,0.6767064329808454,0.7713432119661738,-0.6827125597720198
DPWGAN,nonconstant,0.0,2.0,3,10102003,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.000\eps_2\synthetic_rep_03.csv,2.0,74,-0.00038356545930899686,0.0058528858748044445,0.947749441254777,0.6837060257554435,-0.0014610427325618342,0.0012995432469430105,0.2609160761822713,0.9748910545070657,0.0010774772732528373,1.3704034729461991,0.40433766888800227,1.0095943551633002,0.6767064329808454,0.3608091177828989,-0.27236876409284316
DPWGAN,nonconstant,0.0,2.0,4,10102004,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.000\eps_2\synthetic_rep_04.csv,2.0,74,-0.00038356545930899686,0.0058528858748044445,0.947749441254777,0.6837060257554435,0.0005253152223092415,0.001710719875067406,0.7587926726652707,0.9782402928721488,0.0009088806816182383,1.0463717722607082,0.6527236036950179,1.0095943551633002,0.6767064329808454,0.036777417097408005,-0.02398282928582751
DPWGAN,nonconstant,0.0,2.0,5,10102005,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.000\eps_2\synthetic_rep_05.csv,2.0,74,-0.00038356545930899686,0.0058528858748044445,0.947749441254777,0.6837060257554435,-0.0002060472432125135,0.014836232414844618,0.9889194448385472,0.9055967523446656,0.00017751821609648336,1.4097952190598315,0.36960130925595924,1.0095943551633002,0.6767064329808454,0.4002008638965313,-0.3071051237248862
