method,sim_setup,beta_int,epsilon,abs_err_mean,abs_err_sd,rmse_mean,rmse_sd,r2_mean,r2_sd,delta_rmse_mean,delta_rmse_sd,delta_r2_mean,delta_r2_sd
DPWGAN,constant,0.0,1.0,0.32712176694376155,0.27251771457109636,1.737084960982354,0.5675985723363469,-0.15279620095876903,0.7683742701136163,1.2352401150834946,0.5675985723363469,-1.0649196480543566,0.7683742701136164
DPWGAN,constant,0.0,2.0,0.03551268230567941,0.02413009267680123,0.8699040036244683,0.2515395932107687,0.7163314331456707,0.17006333755500255,0.368059157725609,0.2515395932107687,-0.19579201394991685,0.17006333755500255
DPWGAN,constant,0.0,3.0,0.04401601336640138,0.10035740242360557,0.8507055478950813,0.46059539643678865,0.6816826264419684,0.42284968048446137,0.348860701996222,0.46059539643678865,-0.2304408206536191,0.4228496804844613
DPWGAN,constant,0.0,4.0,0.0055109731829846575,0.004242752196666273,0.6303808222118323,0.09421689632980418,0.858590346290198,0.042021012786553666,0.128535976312973,0.09421689632980418,-0.05353310080538952,0.04202101278655367
DPWGAN,constant,0.0,5.0,0.004795196524418423,0.0027380573443632423,0.5822615042787127,0.04619939123105187,0.8810419589786457,0.019398742231216636,0.0804166583798534,0.04619939123105188,-0.031081488116941877,0.01939874223121663
DPWGAN,constant,0.5,1.0,0.6342686484096617,0.3106127517665414,2.597818083068472,0.9047431301711111,0.01747142390820717,0.6769811964485806,2.0930253329026374,0.9047431301711112,-0.9490407805911801,0.6769811964485806
DPWGAN,constant,0.5,2.0,0.5003843483160348,0.048047588381536145,1.7940145619340864,0.444479302051747,0.5539486903136974,0.227430547063886,1.2892218117682517,0.444479302051747,-0.41256351418569004,0.227430547063886
DPWGAN,constant,0.5,3.0,0.492754224221575,0.017149366096901576,1.3512744107654253,0.24916379403097308,0.7527829199483427,0.09204566474546312,0.8464816605995906,0.24916379403097305,-0.21372928455104478,0.09204566474546313
DPWGAN,constant,0.5,4.0,0.4925133842069549,0.014344065432524505,1.337038228924421,0.2285343965639786,0.7589637147170759,0.08390423950710427,0.8322454787585865,0.22853439656397867,-0.20754848978231152,0.08390423950710427
DPWGAN,constant,0.5,5.0,0.35144657214283376,0.1260127943166779,0.8819846651644663,0.20255819609620812,0.8929760466193023,0.045043960729840064,0.3771919149986318,0.20255819609620812,-0.07353615788008509,0.04504396072984009
DPWGAN,constant,1.0,1.0,1.036714594036408,0.4580517080064853,3.4760250027960335,1.7297215260847236,0.051393659390966503,0.9218748700967498,2.9769769255719294,1.7297215260847236,-0.9325810079045649,0.92187487009675
DPWGAN,constant,1.0,2.0,0.977088287285161,0.050103229932511935,2.480940599863253,0.4916540484006178,0.5901196840922039,0.1816283297426567,1.9818925226391488,0.491654048400618,-0.39385498320332746,0.1816283297426567
DPWGAN,constant,1.0,3.0,0.9914662379923068,0.01875853457815216,2.198660570406945,0.2608283110870604,0.6850527853469051,0.07763297747511128,1.6996124931828402,0.26082831108706034,-0.2989218819486263,0.07763297747511128
DPWGAN,constant,1.0,4.0,0.9583882869593359,0.049594134929931956,2.0966554270675695,0.39194386646353546,0.7083502961719491,0.11822795647244629,1.5976073498434653,0.39194386646353546,-0.2756243711235823,0.11822795647244627
DPWGAN,constant,1.0,5.0,0.8000148825903265,0.18600488030886506,1.6866947456050299,0.4340806332585538,0.8061619230712368,0.09078775879883734,1.1876466683809253,0.4340806332585538,-0.1778127442242946,0.09078775879883737
DPWGAN,constant,2.0,1.0,2.676039423236347,1.9614417514024778,7.768299214616844,6.158375094739696,-1.107551250751634,3.9516932402983764,7.2662947652500485,6.1583750947396965,-2.1019045202228677,3.9516932402983764
DPWGAN,constant,2.0,2.0,2.096361662408208,0.29325600864182383,5.792544486735536,2.104861984814341,0.15992594182598488,0.647054980619601,5.290540037368741,2.1048619848143404,-0.8344273276452491,0.647054980619601
DPWGAN,constant,2.0,3.0,2.0141843424183286,0.05919927513559947,4.380581249765061,0.3065988468568254,0.568150538613226,0.059758859304342375,3.878576800398266,0.3065988468568256,-0.42620273085800797,0.059758859304342375
DPWGAN,constant,2.0,4.0,1.9518904725439516,0.046988588036944064,4.106759774048166,0.2551151856089947,0.6208005455741346,0.047074571299941935,3.6047553246813715,0.25511518560899477,-0.3735527238970994,0.04707457129994195
DPWGAN,constant,2.0,5.0,1.111383610962275,0.6406590139366055,2.2982752883750655,1.0135765098780083,0.861183423120544,0.0976960379850473,1.7962708390082704,1.0135765098780083,-0.13316984635068993,0.09769603798504728
DPWGAN,constant,3.0,1.0,2.57051905407076,1.8125917026187186,10.083785797082008,4.08779756912085,-0.5555595689864787,1.1045748207835322,9.582971091756324,4.087797569120851,-1.552211609982252,1.1045748207835324
DPWGAN,constant,3.0,2.0,3.0811635163027,0.6700230046379977,7.824589583449072,2.9844838681634354,0.07707627502590217,0.8364113968027512,7.323774878123384,2.984483868163436,-0.9195757659698711,0.8364113968027511
DPWGAN,constant,3.0,3.0,3.0075867811564696,0.04268669925605182,6.568059922378317,1.0191690263323543,0.4118377583773353,0.18444777263669418,6.06724521705263,1.0191690263323543,-0.584814282618438,0.18444777263669415
DPWGAN,constant,3.0,4.0,2.8940006270494316,0.1584576343417452,5.3272781112940395,0.5270989268136024,0.6178801272037665,0.07680686405538707,4.826463405968353,0.5270989268136018,-0.3787719137920069,0.07680686405538703
DPWGAN,constant,3.0,5.0,2.0768066005214663,0.7272533107787249,3.8080317550572227,1.2615759909489481,0.7875506024205429,0.13001328888776556,3.3072170497315363,1.2615759909489481,-0.20910143857523045,0.1300132888877656
DPWGAN,constant,5.0,1.0,4.522248754880163,1.1351453550108603,16.851306445379876,15.521768991920627,-1.8817734155273764,6.085869672361871,16.35484232736796,15.521768991920629,-2.8803474812066487,6.085869672361871
DPWGAN,constant,5.0,2.0,5.12485312213868,0.5715650935547526,12.463739703611228,4.215579610288274,0.00990071394522565,0.7161373648888204,11.967275585599317,4.215579610288274,-0.9886733517340465,0.7161373648888205
DPWGAN,constant,5.0,3.0,4.979131985345153,0.10498537401354868,9.920730748564985,1.1380024534805095,0.42394857335617275,0.13320889743907144,9.424266630553074,1.1380024534805095,-0.5746254923230993,0.13320889743907144
DPWGAN,constant,5.0,4.0,4.453583850198298,0.6105733811192807,7.757171132165384,1.224077367985645,0.6441734577233078,0.1037138722489667,7.260707014153474,1.224077367985645,-0.3544006079559643,0.10371387224896672
DPWGAN,constant,5.0,5.0,3.536174565095442,1.2397758955251679,6.038222126253457,2.106701653737351,0.7662450046411345,0.11398730355964731,5.541758008241547,2.106701653737351,-0.23232906103813752,0.1139873035596473
